iter	Passed	Remaining
0	0	229
1	1	195
2	1	166
3	2	160
4	3	155
5	3	156
6	4	153
7	4	148
8	5	145
9	5	145
10	6	144
11	7	142
12	7	141
13	8	138
14	8	135
15	8	132
16	9	129
17	9	127
18	10	127
19	10	125
20	11	124
21	11	123
22	12	123
23	12	121
24	13	120
25	13	120
26	14	119
27	14	118
28	15	118
29	15	117
30	16	116
31	16	115
32	17	114
33	17	114
34	18	113
35	18	112
36	19	112
37	19	111
38	20	110
39	20	109
40	20	109
41	21	109
42	22	109
43	22	109
44	23	109
45	23	108
46	24	107
47	24	107
48	25	106
49	25	106
50	26	105
51	26	104
52	27	103
53	27	103
54	28	102
55	28	102
56	29	102
57	29	101
58	30	100
59	30	100
60	31	99
61	31	98
62	32	98
63	32	97
64	33	97
65	33	95
66	34	95
67	34	94
68	34	94
69	35	93
70	35	92
71	36	91
72	36	91
73	37	91
74	37	90
75	38	90
76	38	89
77	39	88
78	39	87
79	40	87
80	40	87
81	40	86
82	41	85
83	41	85
84	42	84
85	42	84
86	43	84
87	44	83
88	44	82
89	44	82
90	45	81
91	46	81
92	46	80
93	46	80
94	47	80
95	48	79
96	48	79
97	48	78
98	49	77
99	49	77
100	50	76
101	50	76
102	51	75
103	51	75
104	52	74
105	52	74
106	53	74
107	54	73
108	54	73
109	55	72
110	55	72
111	56	71
112	56	71
113	57	70
114	57	70
115	58	69
116	58	69
117	58	68
118	59	67
119	60	67
120	60	67
121	61	66
122	61	66
123	62	66
124	62	65
125	63	64
126	63	64
127	64	63
128	64	63
129	65	62
130	65	62
131	66	61
132	66	61
133	67	60
134	67	60
135	68	59
136	68	59
137	69	58
138	69	58
139	69	57
140	70	56
141	70	56
142	71	55
143	71	55
144	72	54
145	72	54
146	73	53
147	73	53
148	74	52
149	74	52
150	75	51
151	76	51
152	76	51
153	77	50
154	77	50
155	78	49
156	78	49
157	78	48
158	79	47
159	79	47
160	80	46
161	81	46
162	81	46
163	82	45
164	82	45
165	83	44
166	83	44
167	84	43
168	84	43
169	85	42
170	85	42
171	86	41
172	86	41
173	87	40
174	87	40
175	88	39
176	88	39
177	89	38
178	89	38
179	90	37
180	90	37
181	91	36
182	91	36
183	92	35
184	92	35
185	93	34
186	93	34
187	94	33
188	94	33
189	95	32
190	95	32
191	96	31
192	96	31
193	97	30
194	97	30
195	98	29
196	98	29
197	99	28
198	99	28
199	100	27
200	100	27
201	101	26
202	101	26
203	102	25
204	102	25
205	103	24
206	103	24
207	104	23
208	104	23
209	105	22
210	105	22
211	106	21
212	106	20
213	106	20
214	107	19
215	107	19
216	108	18
217	108	18
218	109	17
219	109	17
220	110	16
221	110	16
222	111	15
223	111	15
224	111	14
225	112	14
226	112	13
227	113	13
228	114	12
229	114	12
230	115	11
231	115	11
232	115	10
233	116	10
234	116	9
235	117	9
236	117	8
237	118	8
238	118	7
239	119	7
240	119	6
241	120	6
242	120	5
243	121	5
244	121	4
245	122	4
246	122	3
247	123	3
248	123	2
249	124	2
250	125	1
251	125	1
252	126	0
253	126	0
254	127	0
